producttitle,title,rating,review,text,sentiment,confidence,textblob_polarity,subjectivity,sentiment_category
Bookkeeper: Easily Manage Your Business Finances,Bookkeeping without an annual fee,5,"Considering the cost, I figured that for the price its a company trying to enter the market and compete with Quickbooks, so I ordered the software with an open mind. The software installed easily, everything is straightforward, and has a demo video and training videos on YouTube too. The rest comes from accounting knowledge in regards to knowing accounting.I was planning on buying the paper version of an accounting ledger since I dont need anything super powerful yet until I found this software. Im sure that this will transition with my business as I transition into an LLC.Im very happy with the purchase thus far and think that Quickbooks has some real competition. It has some similarities like Quickbooks, kind of like Mac and PC both use Windows concepts.",bookkeeping without annual fee considering cost figured price company trying enter market compete quickbooks ordered software open mind software installed easily everything straightforward demo video training video youtube rest come accounting knowledge regard knowing accountingi planning buying paper version accounting ledger since dont need anything super powerful yet found software im sure transition business transition llcim happy purchase thus far think quickbooks real competition similarity like quickbooks kind like mac pc use window concept,NEGATIVE,0.974167049,0.364166667,0.746388889,Positive
Bookkeeper: Easily Manage Your Business Finances,Does what I need,4,Simple to use for basic bookkeeping.,need simple use basic bookkeeping,NEGATIVE,0.994203389,0,0.241071429,Neutral
Bookkeeper: Easily Manage Your Business Finances,"Great idea,  Bad execution.  Hard to load or trust.  10hours, never got it up and running.",1,"The idea of saving $500+ on quickbooks sounded fantastic and to good to be true.Turns out it is.  Between a doctor, book keeper, and office manager, we couldn't get it up and running.Every time the software is opened it asks for an update, choose your account or the test account.Importing from QB takes a free download patch,  that does something,  but we never could get it imported and up to work with.Tried to add another account to see if we could use it  without the data import, and lost all the basic set up info we had worked to get in the first place.I realize that might have been expected...but if all my info can be wiped out that quickly, don't want it.At that point, I had learned my lesson and quit.",great idea bad execution hard load trust hour never NOT got running idea saving quickbooks sounded fantastic good trueturns doctor book keeper office manager couldnt get runningevery time software opened asks update choose account test accountimporting qb take free download patch something never NOT could get imported work withtried add another account see could use without data import lost basic set info worked get first placei realize might expectedbut info wiped quickly dont want itat point learned lesson quit,NEGATIVE,0.995409548,0.210185185,0.57962963,Positive
Bookkeeper: Easily Manage Your Business Finances,Problems with the software & poor support,3,"I have a small business with one part-time employee to keep track of, needed the inventory, payroll and invoicing that comes with this.  Can not afford to spend $$ each month on one of the big boys so bought this one to upgrade from my old Bookkeeper.  The website said the latest included 2020 & 2021 tax tables.The box I bought does not say what version you have, you have to install it to find out what it is.The installation failed with transferring the old data & eventually I had to totally remove both programs and reinstall the new one & then laboriously rebuild all the 2020 information.When I started 2021 I found the tax tables were not here for that year, I would have to buy it.  Since I bought it in March of  2021, I would think it would be there.  Support says no, my version doesn't have the 2021 tax tables.  This is the version that is not mentioned anywhere on the box.  I can buy the tables for $30...which, since I paid $36 for this two months ago seems excessive...for one part time employee.Carrying on, I made out an invoice to a customer, who paid right away.  The invoice is for $76.83, customer paid $76.83, Bookkeeper changed the invoice to $75.85 and gave the customer a $.98 credit.Where did this come from?  I have checked & rechecked all the figures.  Even paying from the original invoice it changes the figure when I try to enter payment.Still waiting to hear from Tech support...but trying to find a work around.If anyone knows of another bookkeeping system for small businesses that actually work and are not full of unpleasant surprises please let me know.And, by the way, the included HELP files are generally useless.  If you are in a section working & in doubt, there is a HELP button, which does not take you to the topic you are on but to the beginning of the help and the introduction.  The search is a joke & not a funny one at that.",problem software poor support small business one parttime employee keep track needed inventory payroll invoicing come afford spend month one big boy bought one upgrade old bookkeeper website said latest included tax tablesthe box bought say version install find isthe installation failed transferring old data eventually totally remove program reinstall new one laboriously rebuild informationwhen started found tax table year would buy since bought march would think would support say version doesnt tax table version mentioned anywhere box buy table since paid two month ago seems excessivefor one part time employeecarrying made invoice customer paid right away invoice customer paid bookkeeper changed invoice gave customer creditwhere come checked rechecked figure even paying original invoice change figure try enter paymentstill waiting hear tech supportbut trying find work aroundif anyone know another bookkeeping system small business actually work full unpleasant surprise please let knowand way included help file generally useless section working doubt help button take topic beginning help introduction search joke funny one,NEGATIVE,0.999398947,-0.026642475,0.493544691,Negative
Bookkeeper: Easily Manage Your Business Finances,Works Great,5,Very easy to install and set up.  Works Great.,work great easy install set work great,POSITIVE,0.999605358,0.677777778,0.777777778,Very Positive
Bookkeeper: Easily Manage Your Business Finances,DOES NOT PRINT DEPOSIT SLIPS.,2,"THEY SELL DEPOSIT SLIPS ON THEIR WEBSITE, BUT THE PROGRAM DOES NOT PRINT THEM....THAT DOESN'T MAKE ANY SENSE...WHY WOULD YOU BUY DEPOSIT SLIPS IF YOU CAN'T USE THEM. I QUESTIONED TECHNICAL ABOUT THE PRINTING OF DEPOSIT SLIPS, AND THEY ANSWERED THE PROGRAM DOES'T PRINT THEM.  SO I ASKED THEM WHY THEY ARE SELLING DEPOSIT SLIPS IF THE PROGRAM WON'T PRINT THEM.  NO RESPONSE.IT REALLY WOULD BE AN EXCELLENT PROGRAM IF THEY PRINTED DEPOSIT SLIPS.  ALSO, THE PROGRAM DOES NOT ALLOW FOR ALL THE STATE TAXES THAT NEED TO BE WITHHELD.  DI, UI, FL, ETC.",print deposit slip sell deposit slip website program print themthat doesnt make sensewhy would buy deposit slip cant use questioned technical printing deposit slip answered program doest print asked selling deposit slip program wont print responseit really would excellent program printed deposit slip also program allow state tax need withheld di ui fl etc,NEGATIVE,0.992756426,0.4,0.433333333,Positive
Bookkeeper: Easily Manage Your Business Finances,It is going to work out fine,4,"I was a little dubious about this software when I first tried to set it up. I have used Peachtree Accounting for over 20 years and this is quite different. While muddling through, I am liking it more and more. I still don't have everything figured out, but with time and a little patience, I will.",going work fine little dubious software first tried set used peachtree accounting year quite different muddling liking still dont everything figured time little patience,NEGATIVE,0.992730558,0.058333333,0.486666667,Positive
Bookkeeper: Easily Manage Your Business Finances,No tech support. Help line a joke..,1,"The disk I was furnished did not open. The package said I could download the program as an alternate.I was unable to download the program.  There was a so-called help line, which gave the same answer to each statement, namely that with the payment of one dollar I could get help for seven days, then there would be new charges.  Understand I paid for the program and still did not have it installed.  Yet they wanted additional payment.  This is a total rip-off.Robert Gregory",tech support help line joke disk furnished open package said could download program alternatei unable download program socalled help line gave answer statement namely payment one dollar could get help seven day would new charge understand paid program still installed yet wanted additional payment total ripoffrobert gregory,NEGATIVE,0.996704996,-0.090909091,0.551136364,Negative
Bookkeeper: Easily Manage Your Business Finances,too  complicated for  simple  bookeeping,2,"I  was hoping to  ditch  quickbooks  accounting program  for this.  On  appearance it looks  like  they  nailed  a  good  presentation.  But  boy was I  mistaken  when  trying to figure out simple  billing  or  customer information.  Without  going into alot of  detail,  its just not user friendly and  they  designed it  to be  too  complicated.  I  did  review the tutorial,  called  their  support #,  and  really wanted this to  be  my easy  bookeeping system.  I'm  a  Qbooks  pro user,  I  understand  setting up  accounts,  but this  program  for  me  seemed  like  some  software  engineers  wrote a bookeeping program and never  field tested it on  the  audience  it was intended for.",complicated simple bookeeping hoping ditch quickbooks accounting program appearance look like nailed good presentation boy mistaken trying figure simple billing customer information without going alot detail user friendly designed complicated review tutorial called support really wanted easy bookeeping system im qbooks pro user understand setting account program seemed like software engineer wrote bookeeping program never NOT field tested audience intended,NEGATIVE,0.996483326,0.088541667,0.605952381,Positive
Bookkeeper: Easily Manage Your Business Finances,Still learning,4,"Had issue with importing from Quickbooks 2012 but downloaded to excel, made text  file and it imported.  Now learning how it works. Don't  use most features  since we are a HOA and only need to invoice owners, receive payment and pay for services. Looks like it has capability to do  what I need once I figure out how to make it work  properly. With nearly all the other software having  only subscription  based software, this looks to be a reasonable solution.",still learning issue importing quickbooks downloaded excel made text file imported learning work dont use feature since hoa need invoice owner receive payment pay service look like capability need figure make work properly nearly software subscription based software look reasonable solution,NEGATIVE,0.995805264,0.15,0.5,Positive
